[VAMS][2018-04-25 10:44:18,307] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 10:44:43,726] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 10:44:43,736] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(59)
[VAMS][2018-04-25 10:44:43,737] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 10:44:53,740] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(59)
[VAMS][2018-04-25 10:44:59,416] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionClosed(49)
[VAMS][2018-04-25 10:46:29,695] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 10:46:36,365] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 10:46:48,719] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 10:46:53,848] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
[VAMS][2018-04-25 10:48:44,218] INFO | 初始化成功...... | [main] com.huir.mina.customservice.CustomMinaService.main(37)
[VAMS][2018-04-25 10:49:07,920] INFO | 为了生存 ----客户端主动发送心跳包 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.getRequest(19)
[VAMS][2018-04-25 10:49:07,928] INFO | -客户端与服务端连接[空闲] - both idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(59)
[VAMS][2018-04-25 10:49:07,929] INFO | 客户端发送心跳包 ------》  14;客户端发送心跳包;8 | [NioProcessor-2] com.huir.mina.customtelnet.HreatBeat.isRequest(38)
[VAMS][2018-04-25 10:49:17,931] INFO | -客户端与服务端连接[空闲] - reader idle | [NioProcessor-2] com.huir.mina.customtelnet.CustomTelnetHandler.sessionIdle(59)
[VAMS][2018-04-25 10:49:18,664] INFO | 断开连接 | [NioProcessor-2] com.huir.mina.customservice.CustomServiceHandler.sessionClosed(55)
