[VAMS][2018-05-03 14:46:24,024] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,024] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,024] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,024] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,024] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,024] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,024] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,024] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,024] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,024] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,024] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,024] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,025] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,025] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,026] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,026] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,027] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,027] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,027] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,027] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,027] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,027] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,027] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
[VAMS][2018-05-03 14:46:24,027] INFO | 重新建立连接：10.10.10.111:8989 | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(68)
[VAMS][2018-05-03 14:46:24,027] INFO | Thread=========》  建立连接失败....... | [Thread-0] com.huir.mina.customtelnet.NetService_java$1.run(76)
